SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,Description
PAST SALE,May-30-2023,Single Family Residential,9238 Evanston Ave N,Seattle,WA,98103,690000,2.0,1.0,Greenwood,730,5663.0,1940.0,,945,,Sold,,,https://www.redfin.com/WA/Seattle/9238-Evanston-Ave-N-98103/home/99012,NWMLS as Distributed by MLS Grid,2065664.0,N,Y,47.6971643,-122.3510141,"['INVESTORS', 'Check', 'FULLY', 'updated', 'super', 'charming', 'Greenwood', 'bungalow', 'large', 'lot', 'detached', 'oversized', 'garage', 'plus', 'covered', 'carport', 'Come', 'impressed', 'updated', 'modern', 'kitchen', 'including', 'new', 'kitchen', 'cabinets', 'countertop', 'appliances', 'Kitchen', 'sliding', 'glass', 'door', 'oversized', 'deck', 'PRIVATE', 'back', 'wonderful', 'space', 'living', 'gardening', 'entertaining', 'home', 'fresh', 'interior', 'paint', 'new', 'flooring', 'copper', 'plumbing', 'updated', 'electrical', 'newer', 'water', 'heater', 'Brand', 'new', 'house', 'garage', 'roofs', 'transferable', 'warranty', 'Fully', 'fenced', 'including', 'driveway', 'Near', 'North', 'Seattle', 'College', 'Northgate', 'Green', 'Lake', 'easy', 'access', '99', 'I5', 'DADU', 'potential', 'access', 'Welcome', 'home', 'Show', 'less']"
PAST SALE,September-22-2023,Single Family Residential,1412 N 46th St,Seattle,WA,98103,900000,2.0,1.5,Wallingford,1860,3333.0,1924.0,,484,,Sold,,,https://www.redfin.com/WA/Seattle/1412-N-46th-St-98103/home/117327,NWMLS as Distributed by MLS Grid,2150815.0,N,Y,47.6623394,-122.33999,"['Charming', 'undeniably', 'special', 'fall', 'love', 'bungalow', 'tucked', 'away', 'quiet', 'street', 'blocks', 'Wallingford', 'best', 'restaurants', 'boutiques', 'Meticulously', 'maintained', 'featuring', 'open', 'bright', 'floorplan', 'spacious', 'living', 'dining', 'rooms', 'hardwood', 'floors', 'cozy', 'fireplace', 'large', 'kitchen', 'delightful', 'breakfast', 'nook', 'Two', 'generous', 'bedrooms', 'full', 'bath', 'complete', 'main', 'floor', 'large', 'partially', 'finished', 'basement', 'bath', 'great', 'ceiling', 'height', 'offers', 'endless', 'possibilities', 'Outside', 'street', 'appeal', 'complimented', 'beautifully', 'landscaped', 'fully', 'fenced', 'backyard', 'garage', 'fantastic', 'location', 'short', 'stroll', 'shops', 'restaurants', 'cafes', 'Woodland', 'Park', 'Zoo', 'Green', 'Lake', 'easy', 'access', '99', 'Show', 'less']"
PAST SALE,October-27-2023,Condo/Co-op,731 N 94th St #4,Seattle,WA,98103,410000,2.0,2.0,Greenwood,843,,1987.0,,486,450.0,Sold,,,https://www.redfin.com/WA/Seattle/731-N-94th-St-98103/unit-4/home/50761,NWMLS as Distributed by MLS Grid,2167654.0,N,Y,47.6966491,-122.3486497,"['Welcome', 'home', 'ready', 'recently', 'updated', 'spacious', 'condo', 'heart', 'Greenwood', 'Recent', 'unit', 'upgrades', 'full', 'kitchen', 'remodel', 'new', 'appliances', 'new', 'laminate', 'hardwood', 'floors', 'bedroom', 'carpet', 'new', 'W', 'bathroom', 'upgrades', 'plus', 'new', 'windows', 'paint', 'Recent', 'exterior', 'upgrades', 'include', 'new', 'roof', 'garage', 'door', 'siding', 'paint', 'Special', 'Assessments', 'Secure', 'garage', 'parking', 'Centrally', 'located', 'close', 'Green', 'Lake', 'Northgate', 'Ballard', 'Downtown', 'Cats', 'Rental', 'Cap', '3', 'currently', 'met', 'Must', 'occupy', '1', 'year', 'renting', 'See', 'supplements', 'info', 'Upgrades', 'Features', 'Sheet', 'Seller', 'Procured', 'Inspection', 'Report', 'Resale', 'Certificate', 'available', 'showing', 'Show', 'less']"
PAST SALE,July-20-2023,Condo/Co-op,6801 Greenwood Ave N #105,Seattle,WA,98103,515000,1.0,1.0,Phinney Ridge,737,,2007.0,,699,446.0,Sold,,,https://www.redfin.com/WA/Seattle/6801-Greenwood-Ave-N-98103/unit-105/home/17383163,NWMLS as Distributed by MLS Grid,2127918.0,N,Y,47.6788714,-122.3556487,"['Rare', 'opportunity', 'bright', 'airy', 'condo', 'private', 'yard', 'highly', 'desirable', 'Phinney', 'Ridge', 'neighborhood', 'Beautiful', '1', 'bedroom', 'unit', 'lives', 'large', 'soaring', '12', 'ceilings', 'open', 'floor', 'plan', 'roomy', 'bath', 'Fully', 'fenced', 'backyard', 'doubles', 'space', 'creating', 'outdoor', 'oasis', 'Ideal', 'pet', 'owners', 'buyers', 'craving', 'living', 'Secure', 'vibrant', 'building', 'Plenty', 'space', 'large', 'closets', 'storage', 'unit', 'garage', 'parking', 'gym', 'steps', 'away', 'Charming', 'building', 'amidst', 'endless', 'amenities', 'including', 'yoga', 'bakery', 'popular', 'restaurants', 'farmers', 'market', 'shops', 'grocery', 'hardware', 'store', 'Walkability', 'bike', 'scores', '92', '82', 'respectively', 'unique', 'bustling', 'urban', 'setting', 'hard', 'find', 'Show', 'less']"
PAST SALE,May-26-2023,Condo/Co-op,8760 Greenwood Ave N Unit N405,Seattle,WA,98103,398500,1.0,1.0,Greenwood,832,,1998.0,,479,406.0,Sold,,,https://www.redfin.com/WA/Seattle/8760-Greenwood-Ave-N-98103/unit-N405/home/56214,NWMLS as Distributed by MLS Grid,2062567.0,N,Y,47.6940018,-122.3550457,"['Light', 'bright', 'centrally', 'located', 'beautifully', 'updated', '1', 'bedroom', 'condo', 'truly', 'large', 'kitchen', 'new', 'SS', 'appliances', 'overlooks', 'living', 'room', 'oversized', 'balcony', 'unit', 'balcony', 'quiet', 'side', 'building', 'Tall', 'ceilings', 'throughout', 'unit', 'gas', 'fireplace', 'large', 'closet', 'large', 'bathroom', 'even', 'includes', 'storage', 'unit', 'building', 'New', 'carpet', 'paint', 'water', 'heater', 'secure', 'building', 'lobby', 'gated', 'garage', 'parking', 'elevator', 'Perfectly', 'located', 'Greenwood', 'Walk', 'Score', '92', 'near', 'restaurants', 'breweries', 'cafes', 'groceries', 'parks', 'transportation', 'Low', 'dues', 'solid', 'HOA', 'make', 'perfect', 'place', 'call', 'home', 'Show', 'less']"
PAST SALE,May-30-2023,Townhouse,3906 Whitman Ave N,Seattle,WA,98103,816500,2.0,2.5,Fremont,1180,1197.0,2008.0,,692,,Sold,,,https://www.redfin.com/WA/Seattle/3906-Whitman-Ave-N-98103/home/12539002,NWMLS as Distributed by MLS Grid,2059857.0,N,Y,47.6544121,-122.3457124,"['Spacious', 'Fremont', 'end', 'unit', 'townhome', 'quiet', 'street', '2', 'bedrooms', 'ensuite', 'bathroom', 'plus', 'bonus', 'space', '1st', 'floor', 'Ductless', 'mini', 'splits', 'bedrooms', 'New', 'engineered', 'hardwoods', 'carpet', 'paint', 'throughout', 'Sleek', 'kitchen', 'appliances', 'slab', 'quartz', 'countertops', 'living', 'room', 'spacious', 'cozy', 'gas', 'fireplace', 'Ground', 'level', 'patio', 'deck', 'adjacent', 'kitchen', 'Large', '1', 'car', 'garage', 'extra', 'space', 'storage', 'Perfect', 'location', 'quiet', 'street', 'easy', 'access', 'fantastic', 'restaurants', 'parks', 'shopping', 'public', 'transportation', 'HOA', 'dues', 'Offer', 'review', 'date', 'Tuesday', 'May', '2', '1pm', 'Show', 'less']"
PAST SALE,March-31-2023,Single Family Residential,5910 Dayton Ave N,Seattle,WA,98103,950000,2.0,2.0,Phinney Ridge,1910,3250.0,1918.0,,497,,Sold,,,https://www.redfin.com/WA/Seattle/5910-Dayton-Ave-N-98103/home/299552,NWMLS as Distributed by MLS Grid,2038359.0,N,Y,47.6721874,-122.3526665,"['Adorable', 'craftsman', 'prime', 'Phinney', 'Ridge', 'location', 'let', 'size', 'fool', 'home', 'lives', 'large', 'updated', 'spacious', 'charming', 'kitchen', 'opens', 'entry', 'dining', 'area', 'Updated', 'main', 'bathroom', 'added', 'bath', 'Fresh', 'paint', 'beautiful', 'hardwoods', 'throughout', 'Unlock', 'potential', 'unfinished', '770sf', 'basement', 'including', 'vintage', 'Sit', 'outside', 'sip', 'beverage', 'cozy', 'back', 'deck', 'covered', 'front', 'porch', 'Mature', 'landscape', 'parking', 'multiple', 'vehicles', 'Steps', 'away', 'everything', 'want', 'including', 'Greenlake', 'great', 'restaurants', 'large', 'parks', 'pubs', 'shops', 'even', 'zoo', 'tunes', 'Easy', 'access', 'transit', 'downtown', 'Cute', 'house', 'fabulous', 'location', 'Show', 'less']"
PAST SALE,June-5-2023,Condo/Co-op,1109 N Allen Pl #102,Seattle,WA,98103,440000,1.0,1.0,Wallingford,679,,1984.0,,648,231.0,Sold,,,https://www.redfin.com/WA/Seattle/1109-N-Allen-Pl-98103/unit-102/home/59211,NWMLS as Distributed by MLS Grid,2061836.0,N,Y,47.6604575,-122.3440566,"['Spacious', 'open', 'living', 'heart', 'Wallingford', 'Fantastic', 'central', 'location', 'close', 'Green', 'Lake', 'Fremont', 'Modern', 'laminate', 'flooring', 'throughout', 'Updated', 'kitchen', 'newer', 'stainless', 'steel', 'stove', 'dishwasher', 'Large', 'bedroom', 'abundant', 'storage', 'remodeled', 'bath', 'Private', 'deck', 'overlooking', 'street', 'unit', 'Convenient', 'outside', 'entry', 'living', 'Enjoy', 'everything', 'Wallingford', 'city', 'best', 'cafes', 'pubs', 'shopping', '90', 'Walk', 'Score', '90', 'easy', 'trips', 'Gasworks', 'Park', 'UW', 'SLU', 'Burke', 'Gilman', 'trail', 'Close', 'public', 'transit', 'easy', 'thoroughfares', 'makes', 'work', 'play', 'breeze', 'Community', 'outdoor', 'space', 'large', 'storage', 'locker', 'parking', 'secure', 'garage', 'New', 'Roof', 'Pet', 'friendly', 'RENTAL', 'CAP', 'Show', 'less']"
PAST SALE,March-14-2023,Condo/Co-op,411 N 90th St #210,Seattle,WA,98103,315000,1.0,1.0,Greenwood,495,,1987.0,,636,354.0,Sold,,,https://www.redfin.com/WA/Seattle/411-N-90th-St-98103/unit-210/home/42909,NWMLS as Distributed by MLS Grid,2036189.0,N,Y,47.69400260000001,-122.3535756,"['Cozy', 'one', 'bed', 'one', 'bath', 'condo', 'heart', 'Greenwood', 'new', 'carpeting', 'bedroom', 'living', 'room', 'well', 'new', 'vinyl', 'plank', 'flooring', 'entrance', 'kitchen', 'bathroom', 'Freshly', 'painted', 'walls', 'doors', 'plus', 'new', 'baseboards', 'throughout', 'Brand', 'new', 'Samsung', 'appliances', 'including', 'range', 'fridge', 'microwave', 'dishwasher', 'New', 'kitchen', 'faucet', 'garbage', 'disposal', 'kitchen', 'ceiling', 'light', 'Bathroom', 'new', 'sink', 'medicine', 'cabinet', 'shelving', 'Unit', 'includes', 'one', 'dedicated', 'oversized', 'parking', 'space', 'secure', 'parking', 'garage', 'Covered', 'deck', 'prevents', 'weathering', 'offers', 'tremendous', 'privacy', 'Pet', 'friendly', 'Well', 'run', 'funded', 'HOA', 'Building', 'upgrades', 'past', 'year', 'include', 'new', 'elevator', 'plus', 'new', 'carpeting', 'paint', 'hallways', 'Show', 'less']"
PAST SALE,August-7-2023,Single Family Residential,7012 Linden Ave N,Seattle,WA,98103,616000,2.0,1.0,Phinney Ridge,1560,3052.0,1924.0,,395,,Sold,,,https://www.redfin.com/WA/Seattle/7012-Linden-Ave-N-98103/home/300857,NWMLS as Distributed by MLS Grid,2132356.0,N,Y,47.68002910000001,-122.346968,"['Steps', 'Greenlake', 'charming', 'bungalow', 'awaits', 'restorative', 'touch', 'spacious', 'living', 'room', 'Fireplace', 'greets', 'roomy', 'fresh', 'kitchen', 'ample', 'counter', 'space', 'bright', 'sunny', 'Two', 'bedrooms', 'main', 'level', 'lower', 'level', 'features', 'large', 'laundry', 'room', 'room', 'expand', 'living', 'space', 'Two', 'parking', 'spaces', 'rear', 'ca', 'beat', 'walkable', 'bikeable', 'transit', 'friendly', 'location', 'easy', 'access', '99', 'PCC', 'incredible', 'offerings', 'Phinney', 'Ridge', 'Greenlake', 'Zoned', 'LR2', 'future', 'development', 'opportunities', 'wood', 'floors', 'carpet', 'living', 'room', 'possibly', 'Bedrooms', 'buyer', 'verify', 'information', 'Show', 'less']"
PAST SALE,,Condo/Co-op,8534 Phinney Ave N #202,Seattle,WA,98103,159488,2.0,1.0,,1011,,1979.0,,158,,,,,https://www.redfin.com/WA/Seattle/8534-Phinney-Ave-N-98103/unit-202/home/19357,,,N,Y,47.69179329999999,-122.35365120000002,"['Open', '2', 'bed', '1', 'bath', 'unit', 'urban', 'private', 'Sandlewood', 'Condos', 'Contemporary', 'updated', 'kitchen', 'stainless', 'appliances', 'tile', 'counters', 'Unit', 'boasts', 'windows', 'sliding', 'doors', 'balcony', 'plentiful', 'natural', 'light', 'Featuring', 'wood', 'floors', 'carpeted', 'master', 'bed', 'plenty', 'storage', 'Cozy', 'fireplace', 'Low', 'dues', 'rental', 'cap', 'elevator', 'covered', 'carport', 'parking', 'stellar', 'location', 'Step', 'right', 'Greenwood', 'Ave', 'shops', 'dining', 'nightlife', 'Show', 'less']"
PAST SALE,June-20-2023,Single Family Residential,2319 N 59th St,Seattle,WA,98103,943000,2.0,1.0,Wallingford,1720,3000.0,1921.0,,548,,Sold,,,https://www.redfin.com/WA/Seattle/2319-N-59th-St-98103/home/304690,NWMLS as Distributed by MLS Grid,2063150.0,N,Y,47.6713865,-122.330016,"['rare', 'lovingly', 'maintained', 'craftsman', 'bungalow', 'heart', 'Tangletown', 'turnkey', 'home', 'blends', 'original', 'restored', 'finishes', 'modernized', 'systems', 'including', 'fully', 'updated', '2018', 'furnace', '2020', 'irrigation', 'system', '2023', 'wood', 'burning', 'fireplace', 'original', 'glass', 'front', 'fresh', 'paint', 'period', 'appropriate', 'colors', 'hardwood', 'floors', 'vintage', 'tile', 'bathroom', 'transport', 'bygone', 'era', 'lush', 'gardens', 'provide', 'quiet', 'oasis', 'city', 'front', 'deck', 'offers', 'perfect', 'place', 'relax', 'sun', 'catching', 'sight', 'Olympics', 'Enjoy', 'dinner', 'Kisaku', 'Sushi', 'Mkt', 'pastry', 'Hiroki', 'sipping', 'coffee', 'Zoka', 'Easy', 'highway', 'access', 'close', 'activities', 'Greenlake', 'Show', 'less']"
PAST SALE,June-2-2023,Condo/Co-op,461 N 45th St #2,Seattle,WA,98103,345000,1.0,1.0,Fremont,481,,1958.0,,717,242.0,Sold,,,https://www.redfin.com/WA/Seattle/461-N-45th-St-98103/unit-2/home/12092908,NWMLS as Distributed by MLS Grid,2052349.0,N,Y,47.6612277,-122.35276840000002,"['Sweet', 'spot', 'Fremont', 'condo', 'great', 'layout', 'lovely', 'updates', 'brick', 'building', '7', 'units', 'home', 'ready', 'fresh', 'paint', 'throughout', 'bamboo', 'flooring', 'spacious', 'updated', 'kitchen', 'parking', 'right', 'front', 'Enjoy', 'shared', 'patio', 'garden', 'space', 'back', 'enjoy', 'morning', 'coffee', 'grill', 'friends', 'summer', 'Kitchen', 'features', 'breakfast', 'bar', 'plus', 'nook', 'perfect', 'dining', 'table', 'desk', 'space', 'laundry', 'low', 'HOA', 'dues', 'well', 'Amazing', 'Fremont', 'location', 'near', 'restaurants', 'shopping', 'cafes', 'live', 'music', 'venues', 'parks', 'everything', 'great', 'neighborhood', 'offer', 'Show', 'less']"
PAST SALE,December-5-2022,Condo/Co-op,8816 Nesbit Ave N #105,Seattle,WA,98103,353500,2.0,1.5,Seattle,735,,1988.0,,481,476.0,Sold,,,https://www.redfin.com/WA/Seattle/8816-Nesbit-Ave-N-98103/unit-105/home/12538858,NWMLS as Distributed by MLS Grid,1997865.0,N,Y,47.6928763,-122.3431518,"['Live', 'less', 'one', 'mile', 'Green', 'Lake', 'affordable', 'price', 'Bath', 'condo', 'Greenlake', 'Gables', 'secured', 'covered', 'parking', 'spot', 'Living', 'area', 'wood', 'burning', 'fireplace', 'flows', 'beautifully', 'updated', 'kitchen', 'granite', 'countertops', 'SS', 'appliances', 'Brazilian', 'cherry', 'cabinets', 'ceramic', 'tile', 'floor', 'garden', 'window', 'Close', 'proximity', 'everything', 'Green', 'Lake', 'offer', 'one', 'mile', 'North', 'Seattle', 'light', 'rail', 'station', 'plus', 'easy', 'access', 'downtown', 'via', 'Hwy', '99', 'See', 'today', 'start', 'enjoying', 'life', 'North', 'Seattle', 'style', 'Show', 'less']"
PAST SALE,November-23-2022,Single Family Residential,3508 Troll Ave N,Seattle,WA,98103,890000,2.0,2.0,Fremont,1500,1873.0,2010.0,,593,,Sold,,,https://www.redfin.com/WA/Seattle/3508-Troll-Ave-N-98103/home/22808012,NWMLS as Distributed by MLS Grid,1985568.0,N,Y,47.650404,-122.3470273,"['Modern', 'standalone', 'home', 'Center', 'Universe', '2', 'bed', 'den', 'coolest', 'address', 'Seattle', 'Troll', 'Knoll', 'House', 'Tucked', 'away', 'quiet', 'private', 'alley', '2', 'parking', 'spots', 'fenced', 'yard', 'Watch', 'fireworks', 'grill', 'rooftop', 'deck', '360', 'views', 'DT', 'Lake', 'Union', 'mountains', 'Easy', 'access', 'bike', 'public', 'transit', 'Walk', 'parks', 'coffee', 'shops', 'restaurants', 'Primary', 'bed', 'upper', 'en', 'suite', 'large', 'walk', 'closet', 'Lower', 'bed', 'bath', 'room', 'separate', 'entry', '10ft', 'ceilings', 'bamboo', 'concrete', 'floors', 'Radiant', 'heat', 'always', 'keeps', 'feet', 'home', 'warm', 'winter', 'Daylight', 'fills', 'house', 'large', 'private', 'windows', 'HOA', 'shared', 'walls', 'Preinspected', 'discounted', 'rate', 'buyers', 'available', 'Show', 'less']"
PAST SALE,May-19-2023,Condo/Co-op,1310 N Lucas Pl #505,Seattle,WA,98103,705950,2.0,2.5,Wallingford,1203,,2004.0,,587,1042.0,Sold,,,https://www.redfin.com/WA/Seattle/1310-N-Lucas-Pl-98103/unit-505/home/2065332,NWMLS as Distributed by MLS Grid,2028190.0,N,Y,47.656084,-122.342106,"['Gorgeous', 'condo', 'home', 'heart', 'Wallingford', 'Inviting', 'condo', 'lives', 'like', 'single', 'family', 'home', 'brimming', 'hardwood', 'floors', 'invite', 'sunny', 'living', 'rm', 'fireplace', 'Open', 'kitchen', 'feats', 'spacious', 'island', 'pantry', 'SS', 'appliances', 'Retreat', 'upstairs', 'primary', 'suite', 'ceilings', 'large', 'closet', 'bath', 'private', 'balcony', '2nd', 'bed', 'bath', 'laundry', 'upstairs', 'Bonus', 'room', 'closets', 'balcony', 'perfect', 'dining', 'room', 'home', 'office', 'Rooftop', 'deck', 'lake', 'views', 'steps', 'unit', 'perfect', 'entertaining', 'Fresh', 'paint', 'new', 'carpet', 'deep', 'closets', 'extra', 'storage', '2', 'parking', 'spots', 'secure', 'garage', 'Close', 'Trail', 'buses', 'freeway', 'Show', 'less']"
PAST SALE,June-14-2023,Condo/Co-op,3300 Meridian Ave N #204,Seattle,WA,98103,625000,2.0,2.0,Wallingford,1073,,1993.0,,582,552.0,Sold,,,https://www.redfin.com/WA/Seattle/3300-Meridian-Ave-N-98103/unit-204/home/64600,NWMLS as Distributed by MLS Grid,2033629.0,N,Y,47.6476298,-122.3335711,"['Amazing', 'location', 'directly', 'across', 'Gasworks', 'Park', 'Burke', 'Gilman', 'Trail', 'Spacious', 'condo', 'North', 'end', 'Lake', 'Union', 'oversized', 'private', 'deck', 'formal', 'entry', 'invites', 'light', 'filled', 'open', 'design', 'connecting', 'kitchen', 'dining', 'living', 'room', 'Cozy', 'gas', 'fireplace', 'sip', 'coffee', 'outside', 'partially', 'covered', 'deck', 'Primary', 'suite', 'closet', 'double', 'sink', 'vanity', 'huge', 'soaking', 'tub', 'shower', 'laundry', 'new', 'water', 'heater', 'updated', 'appliances', 'Secure', 'lobby', 'garage', 'parking', 'storage', 'unit', 'Well', 'maintained', 'building', 'strong', 'pet', 'friendly', 'Rental', 'Cap', 'Enjoy', 'Wallingford', 'Fremont', 'offer', 'get', 'ready', '4th', 'July', 'Fireworks', 'party', 'plenty', 'space', 'entertain', 'Show', 'less']"
PAST SALE,February-28-2023,Townhouse,4806 Dayton Ave N,Seattle,WA,98103,719950,2.0,2.0,Fremont,968,656.0,2023.0,,744,,Sold,,,https://www.redfin.com/WA/Seattle/4806-Dayton-Ave-N-98103/home/184120632,NWMLS as Distributed by MLS Grid,2032914.0,N,Y,47.6638428,-122.3525142,"['NW', 'contemporary', 'architecture', 'views', 'Seattle', 'Skyline', 'Mountains', 'collection', 'luxury', 'new', 'construction', 'townhomes', 'phenomenal', 'location', 'Fremont', 'ATTACHED', 'GARAGE', 'designated', 'street', 'parking', 'selected', 'homes', 'SELLER', 'CREDIT', 'BUYER', 'towards', 'closing', 'Designed', 'fixtures', 'finishes', 'gourmet', 'kitchen', 'equipped', 'appliances', 'custom', 'cabinetry', 'efficiency', 'heating', 'cooling', 'Top', 'floor', 'primary', 'suite', 'bath', 'Second', 'bedroom', 'lower', 'level', 'bath', 'flex', 'space', 'upon', 'entry', 'Expansive', 'rooftop', 'deck', 'striking', 'views', 'quick', 'stroll', 'Green', 'Lake', 'vibrant', 'local', 'shops', 'eateries', 'nightlife', 'breweries', 'parks', 'much', 'Built', 'Green', 'Show', 'less']"
PAST SALE,December-2-2022,Townhouse,4701 Evanston Ave N,Seattle,WA,98103,735000,2.0,2.0,Fremont,968,865.0,2022.0,,759,,Sold,,,https://www.redfin.com/WA/Seattle/4701-Evanston-Ave-N-98103/home/182493148,NWMLS as Distributed by MLS Grid,2011466.0,N,Y,47.6629502,-122.3514932,"['Presenting', 'luxury', 'new', 'construction', 'townhome', 'Fremont', 'street', 'parking', 'beautiful', 'views', 'Seattle', 'Skyline', 'Boasting', 'contemporary', 'design', 'fixtures', 'finishes', 'rooms', 'large', 'windows', 'Open', 'concept', 'living', 'kitchen', 'premium', 'SS', 'appliances', 'custom', 'cabinetry', 'heating', 'cooling', 'Top', 'floor', 'primary', 'suite', 'bath', 'Second', 'bedroom', 'lower', 'level', 'space', 'upon', 'entry', 'Entertainer', 'roof', 'deck', 'views', 'Seattle', 'Skyline', 'Bellevue', 'Green', 'Lake', 'vibrant', 'local', 'shops', 'eateries', 'nightlife', 'breweries', 'parks', 'within', 'minutes', 'Built', 'Green', 'Show', 'less']"
PAST SALE,December-9-2022,Townhouse,4705 Evanston Ave N,Seattle,WA,98103,700000,2.0,2.0,Fremont,968,656.0,2022.0,,723,,Sold,,,https://www.redfin.com/WA/Seattle/4705-Evanston-Ave-N-98103/home/182914504,NWMLS as Distributed by MLS Grid,2018015.0,N,Y,47.6629768,-122.3514918,"['Presenting', 'luxury', 'new', 'construction', 'townhome', 'located', 'Fremont', 'beautiful', 'views', 'Seattle', 'Skyline', 'Boasting', 'contemporary', 'design', 'premium', 'fixtures', 'finishes', 'living', 'gourmet', 'kitchen', 'premium', 'SS', 'appliances', 'custom', 'cabinetry', 'rooms', 'large', 'windows', 'heating', 'cooling', 'energy', 'efficiency', 'Top', 'floor', 'primary', 'suite', 'bath', 'Second', 'bedroom', 'lower', 'level', 'bath', 'space', 'upon', 'entry', 'Entertainer', 'roof', 'deck', 'gorgeous', 'views', 'Seattle', 'Skyline', 'Bellevue', 'minutes', 'away', 'Green', 'Lake', 'vibrant', 'local', 'shops', 'eateries', 'nightlife', 'breweries', 'parks', 'Built', 'Green', 'Show']"
PAST SALE,November-15-2022,Townhouse,4707 Evanston Ave N,Seattle,WA,98103,715000,2.0,2.0,Fremont,968,656.0,2022.0,,739,,Sold,,,https://www.redfin.com/WA/Seattle/4707-Evanston-Ave-N-98103/home/182325714,NWMLS as Distributed by MLS Grid,2007732.0,N,Y,47.662997,-122.3517702,"['Presenting', 'luxury', 'new', 'construction', 'townhome', 'located', 'Fremont', 'beautiful', 'views', 'Seattle', 'Skyline', 'Boasting', 'contemporary', 'design', 'premium', 'fixtures', 'finishes', 'living', 'gourmet', 'kitchen', 'premium', 'SS', 'appliances', 'custom', 'cabinetry', 'rooms', 'large', 'windows', 'heating', 'cooling', 'energy', 'efficiency', 'Top', 'floor', 'primary', 'suite', 'bath', 'Second', 'bedroom', 'lower', 'level', 'bath', 'space', 'upon', 'entry', 'Entertainer', 'roof', 'deck', 'gorgeous', 'views', 'Seattle', 'Skyline', 'Bellevue', 'minutes', 'away', 'Green', 'Lake', 'vibrant', 'local', 'shops', 'eateries', 'nightlife', 'breweries', 'parks', 'Designated', 'parking', 'included', 'Built', 'Green', 'Show']"
PAST SALE,,Condo/Co-op,1700 N Northlake Way #303,Seattle,WA,98103,415000,,1.0,,548,,2002.0,,757,,,,,https://www.redfin.com/WA/Seattle/1700-N-Northlake-Way-98103/unit-303/home/12448733,,,N,Y,47.6471513,-122.337273,"['miss', 'wonderful', 'condo', 'heart', 'Seattle', 'envy', 'friends', 'living', 'close', 'downtown', 'right', 'across', 'Gas', 'Works', 'Park', 'Burke', 'Gilman', 'Trail', 'Enjoy', 'New', 'Year', '4th', 'July', 'fireworks', 'rooftop', 'deck', 'top', 'floor', 'unit', 'includes', 'upgraded', 'stainless', 'steel', 'appliances', 'granite', 'counter', 'bar', 'building', 'also', 'features', 'wiring', 'fitness', 'center', 'secured', 'bike', 'storage', 'fireplace', 'lounge', 'wet', 'bar', 'theatre', 'room', 'parking', 'Show', 'less']"
PAST SALE,February-13-2023,Townhouse,4713 Evanston Ave N,Seattle,WA,98103,695000,2.0,2.0,Fremont,968,656.0,2022.0,,718,,Sold,,,https://www.redfin.com/WA/Seattle/4713-Evanston-Ave-N-98103/home/182042635,NWMLS as Distributed by MLS Grid,2028738.0,N,Y,47.66318270000001,-122.3516703,"['Premier', 'builder', 'MRN', 'HOMES', 'presents', 'luxury', 'new', 'construction', 'townhome', 'Fremont', 'PARKING', 'SPACE', 'INCLUDED', 'beautiful', 'views', 'Seattle', 'Skyline', 'Boasting', 'contemporary', 'design', 'premium', 'fixtures', 'finishes', 'rooms', 'large', 'windows', 'living', 'gourmet', 'kitchen', 'premium', 'SS', 'appliances', 'custom', 'cabinetry', 'heating', 'cooling', 'Top', 'floor', 'primary', 'suite', 'bath', '2nd', 'bedroom', 'space', 'upon', 'entry', 'Huge', 'entertainer', 'roof', 'deck', 'gorgeous', 'views', 'Seattle', 'Skyline', 'Bellevue', 'Green', 'Lake', 'vibrant', 'local', 'shops', 'eateries', 'nightlife', 'breweries', 'parks', 'mins', 'Built', 'Green', 'Show', 'less']"
PAST SALE,January-19-2023,Townhouse,966 N Allen Pl,Seattle,WA,98103,710000,2.0,2.0,Wallingford,1036,856.0,2022.0,,685,,Sold,,,https://www.redfin.com/WA/Seattle/966-N-Allen-Pl-98103/home/182037456,NWMLS as Distributed by MLS Grid,2022938.0,N,Y,47.6607314,-122.3459481,"['Welcoming', 'contemporary', 'new', 'construction', 'home', 'centrally', 'located', 'Wallingford', 'views', 'Seattle', 'Skyline', 'Mt', 'Rainier', 'Lake', 'Union', 'ATTACHED', 'GARAGE', 'Boasting', 'functional', 'floor', 'plan', 'design', 'abundance', 'natural', 'light', 'flooding', 'room', 'Chef', 'kitchen', 'appliances', 'sleek', 'slabs', 'quartz', 'solid', 'wood', 'floating', 'staircase', 'Spacious', 'top', 'floor', 'primary', 'suite', 'bath', 'Second', 'bedroom', 'bath', 'space', 'upon', 'entry', 'Large', 'roof', 'deck', 'outstanding', 'views', 'City', 'Lake', 'Rainier', 'Located', 'within', 'mins', 'Wallingford', 'amenities', 'shops', 'boutiques', 'parks', 'breweries', 'Designated', 'parking', 'included', 'WalkScore', '91', 'Built', 'Green', 'Show', 'less']"
