SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-24-2023,Condo/Co-op,2030 13th Ave W #202,Seattle,WA,98119,645000.0,2.0,2.0,Queen Anne,1368.0,,1978.0,,471.0,588.0,Sold,,,https://www.redfin.com/WA/Seattle/2030-13th-Ave-W-98119/unit-202/home/16867,NWMLS as Distributed by MLS Grid,2043316.0,N,Y,47.6375889,-122.3735321
PAST SALE,January-4-2023,Single Family Residential,1606 3rd Ave W,Seattle,WA,98119,1345000.0,5.0,3.0,Queen Anne,2870.0,3600.0,1912.0,,469.0,,Sold,,,https://www.redfin.com/WA/Seattle/1606-3rd-Ave-W-98119/home/134533,NWMLS as Distributed by MLS Grid,2019311.0,N,Y,47.6338506,-122.3607629
PAST SALE,April-18-2023,Condo/Co-op,348 W Olympic Pl #303,Seattle,WA,98119,899950.0,2.0,1.0,Queen Anne,1300.0,,1929.0,,692.0,979.0,Sold,,,https://www.redfin.com/WA/Seattle/348-W-Olympic-Pl-98119/unit-303/home/72034,NWMLS as Distributed by MLS Grid,2046920.0,N,Y,47.6269998,-122.3627728
PAST SALE,April-20-2023,Condo/Co-op,275 W Roy St #310,Seattle,WA,98119,415000.0,1.0,1.0,Queen Anne,598.0,,1982.0,,694.0,437.0,Sold,,,https://www.redfin.com/WA/Seattle/275-W-Roy-St-98119/unit-310/home/4921,NWMLS as Distributed by MLS Grid,2039809.0,N,Y,47.6255231,-122.3599262
PAST SALE,September-29-2023,Condo/Co-op,3030 14th Ave W #301,Seattle,WA,98119,615000.0,2.0,2.0,Queen Anne,1029.0,,1979.0,,598.0,583.0,Sold,,,https://www.redfin.com/WA/Seattle/3030-14th-Ave-W-98119/unit-301/home/21557,NWMLS as Distributed by MLS Grid,2157401.0,N,Y,47.6475453,-122.3745959
PAST SALE,August-14-2023,Condo/Co-op,2625 13th Ave W #305,Seattle,WA,98119,550000.0,2.0,2.0,Queen Anne,1019.0,,1977.0,,540.0,527.0,Sold,,,https://www.redfin.com/WA/Seattle/2625-13th-Ave-W-98119/unit-305/home/12982,NWMLS as Distributed by MLS Grid,2133701.0,N,Y,47.6436594,-122.3744894
PAST SALE,August-17-2023,Single Family Residential,1940 9th Ave W,Seattle,WA,98119,1375000.0,3.0,3.5,Queen Anne,2000.0,2558.0,2002.0,,688.0,,Sold,,,https://www.redfin.com/WA/Seattle/1940-9th-Ave-W-98119/home/134799,NWMLS as Distributed by MLS Grid,2128662.0,N,Y,47.6371412,-122.3686635
PAST SALE,December-14-2022,Condo/Co-op,348 W Olympic Pl #107,Seattle,WA,98119,460000.0,1.0,1.0,Queen Anne,651.0,,1929.0,,707.0,490.0,Sold,,,https://www.redfin.com/WA/Seattle/348-W-Olympic-Pl-98119/unit-107/home/69454,NWMLS as Distributed by MLS Grid,2017602.0,N,Y,47.6269998,-122.3627728
PAST SALE,April-10-2023,Townhouse,1519 5th Ave W #2,Seattle,WA,98119,549995.0,2.0,1.0,Queen Anne,814.0,1208.0,1956.0,,676.0,1130.0,Sold,,,https://www.redfin.com/WA/Seattle/1519-5th-Ave-W-98119/unit-2/home/12092793,NWMLS as Distributed by MLS Grid,2038442.0,N,Y,47.6329535,-122.3641493
PAST SALE,September-8-2023,Single Family Residential,3032 11th Ave W,Seattle,WA,98119,900000.0,3.0,2.0,Queen Anne,1640.0,5000.0,1922.0,,549.0,,Sold,,,https://www.redfin.com/WA/Seattle/3032-11th-Ave-W-98119/home/131586,NWMLS as Distributed by MLS Grid,2144269.0,N,Y,47.6478381,-122.3712922
PAST SALE,June-29-2023,Condo/Co-op,2034 14th Ave W #301,Seattle,WA,98119,475000.0,2.0,2.0,Queen Anne,882.0,,1979.0,,539.0,609.0,Sold,,,https://www.redfin.com/WA/Seattle/2034-14th-Ave-W-98119/unit-301/home/66540,NWMLS as Distributed by MLS Grid,2067134.0,N,Y,47.6377673,-122.3746213
PAST SALE,November-14-2022,Condo/Co-op,415 W Mercer St #301,Seattle,WA,98119,450000.0,2.0,2.0,Queen Anne,1188.0,,1963.0,,379.0,626.0,Sold,,,https://www.redfin.com/WA/Seattle/415-W-Mercer-St-98119/unit-301/home/31235,NWMLS as Distributed by MLS Grid,1997838.0,N,Y,47.6244152,-122.3629618
PAST SALE,September-6-2023,Condo/Co-op,2530 15th Ave W #301,Seattle,WA,98119,385000.0,1.0,1.0,Queen Anne,778.0,,2000.0,,495.0,716.0,Sold,,,https://www.redfin.com/WA/Seattle/2530-15th-Ave-W-98119/unit-301/home/2486,NWMLS as Distributed by MLS Grid,2131305.0,N,Y,47.6416973,-122.3757786
PAST SALE,,Multi-Family (2-4 Unit),3032 4th Ave W,Seattle,WA,98119,856500.0,2.0,1.0,,1990.0,3810.0,1910.0,,430.0,,,,,https://www.redfin.com/WA/Seattle/3032-4th-Ave-W-98119/home/130185,,,N,Y,47.6476488,-122.3618425
PAST SALE,July-6-2023,Condo/Co-op,3420 15th Ave W #102,Seattle,WA,98119,339450.0,1.0,1.0,Queen Anne,609.0,,1960.0,,557.0,376.0,Sold,,,https://www.redfin.com/WA/Seattle/3420-15th-Ave-W-98119/unit-102/home/2118806,NWMLS as Distributed by MLS Grid,2056835.0,N,Y,47.6511812,-122.375772
PAST SALE,March-6-2023,Condo/Co-op,3608 14th Ave W #302,Seattle,WA,98119,419900.0,1.0,1.0,Queen Anne,660.0,,1967.0,,636.0,295.0,Sold,,,https://www.redfin.com/WA/Seattle/3608-14th-Ave-W-98119/unit-302/home/12092944,NWMLS as Distributed by MLS Grid,2018389.0,N,Y,47.652461,-122.374587
PAST SALE,June-30-2023,Condo/Co-op,521 5th Ave W #202,Seattle,WA,98119,540000.0,1.0,1.0,Queen Anne,908.0,,1963.0,,595.0,651.0,Sold,,,https://www.redfin.com/WA/Seattle/521-5th-Ave-W-98119/unit-202/home/58089,NWMLS as Distributed by MLS Grid,2033963.0,N,Y,47.6238554,-122.3635937
PAST SALE,,Single Family Residential,1611 5th Ave W,Seattle,WA,98119,1128000.0,2.0,1.0,,1360.0,3600.0,1903.0,,829.0,,,,,https://www.redfin.com/WA/Seattle/1611-5th-Ave-W-98119/home/135003,,,N,Y,47.6339492,-122.3639903
PAST SALE,May-22-2023,Condo/Co-op,1817 11th Ave W Unit A,Seattle,WA,98119,860000.0,3.0,2.0,Queen Anne,1376.0,,1988.0,,625.0,365.0,Sold,,,https://www.redfin.com/WA/Seattle/1817-11th-Ave-W-98119/unit-A/home/67358,NWMLS as Distributed by MLS Grid,2071679.0,N,Y,47.6351955,-122.3719777
PAST SALE,March-23-2023,Single Family Residential,1933 7th Ave W,Seattle,WA,98119,1000000.0,4.0,1.5,Queen Anne,3090.0,4600.0,1903.0,,324.0,,Sold,,,https://www.redfin.com/WA/Seattle/1933-7th-Ave-W-98119/home/134960,NWMLS as Distributed by MLS Grid,2048689.0,N,Y,47.6369144,-122.3666671
PAST SALE,October-12-2023,Condo/Co-op,3053 14th Ave W #201,Seattle,WA,98119,395000.0,2.0,1.0,Queen Anne,873.0,,1977.0,,452.0,374.0,Sold,,,https://www.redfin.com/WA/Seattle/3053-14th-Ave-W-98119/unit-201/home/23892,NWMLS as Distributed by MLS Grid,2171359.0,N,Y,47.6481359,-122.3752366
PAST SALE,November-15-2022,Single Family Residential,1510 11th Ave W,Seattle,WA,98119,2300000.0,5.0,4.0,Queen Anne,3123.0,3600.0,1909.0,,736.0,,Sold,,,https://www.redfin.com/WA/Seattle/1510-11th-Ave-W-98119/home/133007,NWMLS as Distributed by MLS Grid,2017482.0,N,Y,47.6327157,-122.3714189
PAST SALE,December-1-2022,Single Family Residential,1908 7th Ave W,Seattle,WA,98119,4000000.0,5.0,4.5,Queen Anne,5704.0,7200.0,1931.0,,701.0,,Sold,,,https://www.redfin.com/WA/Seattle/1908-7th-Ave-W-98119/home/133759,NWMLS as Distributed by MLS Grid,2020873.0,N,Y,47.6362864,-122.3659419
PAST SALE,,Condo/Co-op,301 W Raye St #105,Seattle,WA,98119,443000.0,2.0,1.5,,756.0,,1987.0,,586.0,,,,,https://www.redfin.com/WA/Seattle/301-W-Raye-St-98119/unit-105/home/2066107,,,N,Y,47.6430345,-122.3612229
PAST SALE,June-29-2023,Single Family Residential,2601 12th Ave W,Seattle,WA,98119,2635000.0,5.0,3.5,Queen Anne,3700.0,6500.0,2016.0,,712.0,,Sold,,,https://www.redfin.com/WA/Seattle/2601-12th-Ave-W-98119/home/130961,NWMLS as Distributed by MLS Grid,2133475.0,N,Y,47.6431202,-122.3729345
PAST SALE,,Single Family Residential,3450 13th Ave W,Seattle,WA,98119,1140430.0,4.0,2.5,,2000.0,5998.0,2001.0,,570.0,,,,,https://www.redfin.com/WA/Seattle/3450-13th-Ave-W-98119/home/129524,,,N,Y,47.6518726,-122.3733099
PAST SALE,March-17-2023,Single Family Residential,1911 6th Ave W,Seattle,WA,98119,3075000.0,5.0,4.5,Queen Anne,3670.0,7200.0,2022.0,,838.0,,Sold,,,https://www.redfin.com/WA/Seattle/1911-6th-Ave-W-98119/home/133596,NWMLS as Distributed by MLS Grid,2033008.0,N,Y,47.6362978,-122.3653625
PAST SALE,August-11-2023,Single Family Residential,109 W Boston St,Seattle,WA,98119,900000.0,3.0,2.0,Queen Anne,1760.0,2700.0,1926.0,,511.0,,Sold,,,https://www.redfin.com/WA/Seattle/109-W-Boston-St-98119/home/134857,NWMLS as Distributed by MLS Grid,2150546.0,N,Y,47.6381977,-122.3587977
PAST SALE,,Condo/Co-op,2221 Gilman Dr W #404,Seattle,WA,98119,629950.0,2.0,2.0,,1203.0,,1977.0,,524.0,,,,,https://www.redfin.com/WA/Seattle/2221-Gilman-Dr-W-98119/unit-404/home/52679,,,N,Y,47.6389431,-122.3735927
PAST SALE,March-17-2023,Condo/Co-op,2821 2nd Ave #802,Seattle,WA,98121,820000.0,2.0,2.0,Belltown,1371.0,,1982.0,,598.0,1915.0,Sold,,,https://www.redfin.com/WA/Seattle/2821-2nd-Ave-98121/unit-802/home/7955,NWMLS as Distributed by MLS Grid,2046945.0,N,Y,47.629517,-122.370021
PAST SALE,January-17-2023,Single Family Residential,315 W Smith St,Seattle,WA,98119,1700000.0,5.0,3.5,Queen Anne,2860.0,2400.0,2013.0,,594.0,,Sold,,,https://www.redfin.com/WA/Seattle/315-W-Smith-St-98119/home/130533,NWMLS as Distributed by MLS Grid,2028694.0,N,Y,47.6412308,-122.3617114
PAST SALE,May-5-2023,Single Family Residential,1942 10th Ave W,Seattle,WA,98119,1500000.0,3.0,2.5,Queen Anne,1914.0,1676.0,2018.0,,784.0,,Sold,,,https://www.redfin.com/WA/Seattle/1942-10th-Ave-W-98119/home/113996419,NWMLS as Distributed by MLS Grid,2055888.0,N,Y,47.6371794,-122.3699001
PAST SALE,May-19-2023,Condo/Co-op,521 5th Ave W #1002,Seattle,WA,98119,950000.0,2.0,2.0,Queen Anne,1305.0,,1963.0,,728.0,936.0,Sold,,,https://www.redfin.com/WA/Seattle/521-5th-Ave-W-98119/unit-1002/home/16309,NWMLS as Distributed by MLS Grid,2070681.0,N,Y,47.6238554,-122.3635937
PAST SALE,May-16-2023,Single Family Residential,1607 1st Ave W,Seattle,WA,98119,2875000.0,4.0,4.5,Queen Anne,3352.0,3600.0,2023.0,,858.0,,Sold,,,https://www.redfin.com/WA/Seattle/1607-1st-Ave-W-98119/home/132741,NWMLS as Distributed by MLS Grid,2059129.0,N,Y,47.6338461,-122.3586045
