SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,8021 Wallingford Ave N,Seattle,WA,98103,1300000,4,2.0,,2050,8432,1946,,634,,,,,https://www.redfin.com/WA/Seattle/8021-Wallingford-Ave-N-98103/home/306807,,,N,Y,47.6874946,-122.3367194
PAST SALE,April-20-2023,Single Family Residential,1316 N 77th St,Seattle,WA,98103,1300000,4,3.0,Green Lake,3000,4080,1924,,433,,Sold,,,https://www.redfin.com/WA/Seattle/1316-N-77th-St-98103/home/306743,NWMLS as Distributed by MLS Grid,2049651,N,Y,47.6850065,-122.340967
PAST SALE,September-19-2023,Single Family Residential,514 N 74th St,Seattle,WA,98103,1225000,4,2.5,Phinney Ridge,2040,3000,1906,,600,,Sold,,,https://www.redfin.com/WA/Seattle/514-N-74th-St-98103/home/300744,NWMLS as Distributed by MLS Grid,2153621,N,Y,47.6827828,-122.351904
PAST SALE,,Single Family Residential,4114 Densmore Ave N,Seattle,WA,98103,1750000,5,1.5,,2330,4560,1911,,751,,,,,https://www.redfin.com/WA/Seattle/4114-Densmore-Ave-N-98103/home/118274,,,N,Y,47.6572853,-122.3371265
PAST SALE,November-16-2022,Single Family Residential,9208 Wallingford Ave N,Seattle,WA,98103,940000,4,2.0,Green Lake,2040,6348,1962,,461,,Sold,,,https://www.redfin.com/WA/Seattle/9208-Wallingford-Ave-N-98103/home/105261,NWMLS as Distributed by MLS Grid,2004369,N,Y,47.6963507,-122.3361456
PAST SALE,March-24-2023,Condo/Co-op,9241 Woodlawn Ave N,Seattle,WA,98103,1400000,7,3.5,Northgate,2890,6550,1970,,484,,Sold,,,https://www.redfin.com/WA/Seattle/9241-Woodlawn-Ave-N-98103/home/17382718,NWMLS as Distributed by MLS Grid,2038910,N,Y,47.697232,-122.339057
PAST SALE,November-17-2022,Single Family Residential,2305 N 65th St,Seattle,WA,98103,1600000,4,3.0,Green Lake,2860,4182,1926,,559,,Sold,,,https://www.redfin.com/WA/Seattle/2305-N-65th-St-98103/home/306093,NWMLS as Distributed by MLS Grid,1985472,N,Y,47.6757866,-122.3305049
PAST SALE,April-19-2023,Single Family Residential,146 N 84th St,Seattle,WA,98103,1500000,4,4.0,Greenwood,2489,4095,2009,,603,,Sold,,,https://www.redfin.com/WA/Seattle/146-N-84th-St-98103/home/496037,NWMLS as Distributed by MLS Grid,2026470,N,Y,47.6900455,-122.3559979
PAST SALE,July-14-2023,Townhouse,7900 Green Lake Dr N,Seattle,WA,98103,1140000,4,4.0,Green Lake,1844,900,2022,,618,,Sold,,,https://www.redfin.com/WA/Seattle/7900-Green-Lake-Dr-N-98103/home/179836825,NWMLS as Distributed by MLS Grid,1949451,N,Y,47.685784,-122.3375081
PAST SALE,May-10-2023,Townhouse,4124 Densmore Ave N,Seattle,WA,98103,1450000,4,4.0,Wallingford,2052,1957,2023,,707,,Sold,,,https://www.redfin.com/WA/Seattle/4124-Densmore-Ave-N-98103/home/185099192,NWMLS as Distributed by MLS Grid,2055785,N,Y,47.6574326,-122.3372545
